Article 1,Article 2,Heading 1,Heading 2,Cosine Similarity,Fuzzy Similarity,Final Score,Status
7,30,Rain halts play after Ishant stri,Chandimal century Sri Lanka frustrate England,0.22,0.43,0.28,🟢 Safe
14,46,Narine sinks Proteas in West Indies r,England call up uncapped trio for Sri Lanka T20,0.22,0.42,0.28,🟢 Safe
16,31,Former England captain Carr dead at 89,Time to move on and forget about spot fixing saga Salman Bu,0.22,0.43,0.28,🟢 Safe
16,41,Former England captain Carr dead at 89,Hartley Wilson in England Womens squad for Pakistan ODI,0.22,0.43,0.28,🟢 Safe
11,31,Salman Butt can make a successful comeback Geoff L,Time to move on and forget about spot fixing saga Salman Bu,0.22,0.43,0.28,🟢 Safe
4,45,Sri Lanka beat Australia 229 runs clinch seri,Pakistan win toss opt to field in T20 series decider,0.21,0.41,0.27,🟢 Safe
21,37,Asian shares rise dollar nurses losses after jobs ,Pakistan shares close lower rupee weaker,0.24,0.35,0.27,🟢 Safe
19,41,Wales overtake England in FIFA world ranking,Hartley Wilson in England Womens squad for Pakistan ODI,0.22,0.4,0.27,🟢 Safe
14,38,Narine sinks Proteas in West Indies r,Cook ready for Pakistan after Sri Lanka su,0.21,0.42,0.27,🟢 Safe
12,29,Cash bet could make break Modi,Gold slips Brexit tensions ease stocks rally,0.19,0.44,0.27,🟢 Safe
3,37,Asian shares edge lower as Fed rate talk reviv,Pakistan shares close lower rupee weaker,0.23,0.35,0.26,🟢 Safe
29,42,Gold slips Brexit tensions ease stocks rally,Third of Britons to tighten belts over Brexit ,0.19,0.41,0.26,🟢 Safe
6,41,Serena beats Sharapova to reach semi fi,Hartley Wilson in England Womens squad for Pakistan ODI,0.18,0.43,0.26,🟢 Safe
12,24,Cash bet could make break Modi,Economic Survey Pakistan misses GDP targ,0.19,0.43,0.26,🟢 Safe
5,16,Imran asks India to play positive role for bilateral seri,Former England captain Carr dead at 89,0.19,0.43,0.26,🟢 Safe
23,45,Karachi win toss bat against Peshawar,Pakistan win toss opt to field in T20 series decider,0.2,0.41,0.26,🟢 Safe
3,43,Asian shares edge lower as Fed rate talk reviv,British shoppers begin feel post Brexit pi,0.19,0.42,0.26,🟢 Safe
4,6,Sri Lanka beat Australia 229 runs clinch seri,Serena beats Sharapova to reach semi fi,0.19,0.43,0.26,🟢 Safe
35,36,Ishaq Dar wants timelines for power projects strictly followed,punjab govt presents rs 1.45tr budg,0.23,0.35,0.26,🟢 Safe
12,34,Cash bet could make break Modi,Pakistan must speed up reform of energy sector World B,0.19,0.43,0.26,🟢 Safe
24,33,Economic Survey Pakistan misses GDP targ,strike piles up trade cargoes prolonged stand off feared,0.2,0.4,0.26,🟢 Safe
3,25,Asian shares edge lower as Fed rate talk reviv,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.18,0.43,0.26,🟢 Safe
4,22,Sri Lanka beat Australia 229 runs clinch seri,In form Ali boosts Paki,0.19,0.43,0.26,🟢 Safe
31,38,Time to move on and forget about spot fixing saga Salman Bu,Cook ready for Pakistan after Sri Lanka su,0.2,0.39,0.26,🟢 Safe
5,41,Imran asks India to play positive role for bilateral seri,Hartley Wilson in England Womens squad for Pakistan ODI,0.2,0.4,0.26,🟢 Safe
28,41,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Hartley Wilson in England Womens squad for Pakistan ODI,0.18,0.42,0.25,🟢 Safe
22,30,In form Ali boosts Paki,Chandimal century Sri Lanka frustrate England,0.18,0.44,0.25,🟢 Safe
24,35,Economic Survey Pakistan misses GDP targ,Ishaq Dar wants timelines for power projects strictly followed,0.2,0.34,0.25,🟢 Safe
21,25,Asian shares rise dollar nurses losses after jobs ,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.18,0.43,0.25,🟢 Safe
4,41,Sri Lanka beat Australia 229 runs clinch seri,Hartley Wilson in England Womens squad for Pakistan ODI,0.17,0.42,0.25,🟢 Safe
5,11,Imran asks India to play positive role for bilateral seri,Salman Butt can make a successful comeback Geoff L,0.17,0.44,0.25,🟢 Safe
6,9,Serena beats Sharapova to reach semi fi,Canny Sevilla retain iron grip on Europa League trophy,0.18,0.42,0.25,🟢 Safe
32,49,Iran says will resist curbs on oil output as part of global ,Global diesel demand crumbling warns IEA,0.17,0.43,0.25,🟢 Safe
14,28,Narine sinks Proteas in West Indies r,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.18,0.41,0.25,🟢 Safe
5,15,Imran asks India to play positive role for bilateral seri,De Villiers appointed South Africa Test captai,0.17,0.42,0.25,🟢 Safe
40,41,New Zealand record dramatic win over Aussi,Hartley Wilson in England Womens squad for Pakistan ODI,0.18,0.42,0.25,🟢 Safe
34,36,Pakistan must speed up reform of energy sector World B,punjab govt presents rs 1.45tr budg,0.17,0.44,0.25,🟢 Safe
1,8,Dream comes true as Matthews completes Grand Tour ,Hamilton back in the hunt as F1 heads to Baku,0.17,0.43,0.25,🟢 Safe
15,31,De Villiers appointed South Africa Test captai,Time to move on and forget about spot fixing saga Salman Bu,0.17,0.43,0.25,🟢 Safe
12,43,Cash bet could make break Modi,British shoppers begin feel post Brexit pi,0.18,0.41,0.25,🟢 Safe
8,41,Hamilton back in the hunt as F1 heads to Baku,Hartley Wilson in England Womens squad for Pakistan ODI,0.18,0.42,0.25,🟢 Safe
32,43,Iran says will resist curbs on oil output as part of global ,British shoppers begin feel post Brexit pi,0.16,0.41,0.24,🟢 Safe
13,43,oil drops after yemen inspired gai,British shoppers begin feel post Brexit pi,0.17,0.42,0.24,🟢 Safe
12,25,Cash bet could make break Modi,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.15,0.43,0.24,🟢 Safe
9,14,Canny Sevilla retain iron grip on Europa League trophy,Narine sinks Proteas in West Indies r,0.16,0.42,0.24,🟢 Safe
34,43,Pakistan must speed up reform of energy sector World B,British shoppers begin feel post Brexit pi,0.17,0.41,0.24,🟢 Safe
12,44,Cash bet could make break Modi,External sharia audits gain traction in Islamic finance study find,0.16,0.42,0.24,🟢 Safe
14,45,Narine sinks Proteas in West Indies r,Pakistan win toss opt to field in T20 series decider,0.2,0.34,0.24,🟢 Safe
1,19,Dream comes true as Matthews completes Grand Tour ,Wales overtake England in FIFA world ranking,0.17,0.42,0.24,🟢 Safe
1,6,Dream comes true as Matthews completes Grand Tour ,Serena beats Sharapova to reach semi fi,0.16,0.42,0.24,🟢 Safe
33,36,strike piles up trade cargoes prolonged stand off feared,punjab govt presents rs 1.45tr budg,0.16,0.41,0.24,🟢 Safe
16,46,Former England captain Carr dead at 89,England call up uncapped trio for Sri Lanka T20,0.16,0.41,0.24,🟢 Safe
25,29,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Gold slips Brexit tensions ease stocks rally,0.15,0.43,0.24,🟢 Safe
25,37,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Pakistan shares close lower rupee weaker,0.19,0.37,0.24,🟢 Safe
24,48,Economic Survey Pakistan misses GDP targ,Trade Policy Framework 2015 18 to be announced ,0.17,0.43,0.24,🟢 Safe
2,43,oil prices up in asi,British shoppers begin feel post Brexit pi,0.18,0.39,0.24,🟢 Safe
22,28,In form Ali boosts Paki,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.17,0.4,0.24,🟢 Safe
29,32,Gold slips Brexit tensions ease stocks rally,Iran says will resist curbs on oil output as part of global ,0.15,0.44,0.24,🟢 Safe
28,30,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Chandimal century Sri Lanka frustrate England,0.18,0.38,0.24,🟢 Safe
21,32,Asian shares rise dollar nurses losses after jobs ,Iran says will resist curbs on oil output as part of global ,0.16,0.43,0.24,🟢 Safe
17,32,Xi pushes China backed trade deals to fill US void,Iran says will resist curbs on oil output as part of global ,0.16,0.42,0.24,🟢 Safe
15,46,De Villiers appointed South Africa Test captai,England call up uncapped trio for Sri Lanka T20,0.16,0.42,0.24,🟢 Safe
15,16,De Villiers appointed South Africa Test captai,Former England captain Carr dead at 89,0.16,0.43,0.24,🟢 Safe
31,41,Time to move on and forget about spot fixing saga Salman Bu,Hartley Wilson in England Womens squad for Pakistan ODI,0.16,0.42,0.24,🟢 Safe
5,23,Imran asks India to play positive role for bilateral seri,Karachi win toss bat against Peshawar,0.16,0.41,0.24,🟢 Safe
8,28,Hamilton back in the hunt as F1 heads to Baku,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.15,0.42,0.23,🟢 Safe
12,48,Cash bet could make break Modi,Trade Policy Framework 2015 18 to be announced ,0.14,0.42,0.23,🟢 Safe
7,28,Rain halts play after Ishant stri,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.2,0.31,0.23,🟢 Safe
30,45,Chandimal century Sri Lanka frustrate England,Pakistan win toss opt to field in T20 series decider,0.14,0.44,0.23,🟢 Safe
6,16,Serena beats Sharapova to reach semi fi,Former England captain Carr dead at 89,0.16,0.41,0.23,🟢 Safe
6,28,Serena beats Sharapova to reach semi fi,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.15,0.41,0.23,🟢 Safe
6,40,Serena beats Sharapova to reach semi fi,New Zealand record dramatic win over Aussi,0.15,0.42,0.23,🟢 Safe
15,41,De Villiers appointed South Africa Test captai,Hartley Wilson in England Womens squad for Pakistan ODI,0.15,0.43,0.23,🟢 Safe
1,9,Dream comes true as Matthews completes Grand Tour ,Canny Sevilla retain iron grip on Europa League trophy,0.16,0.39,0.23,🟢 Safe
5,31,Imran asks India to play positive role for bilateral seri,Time to move on and forget about spot fixing saga Salman Bu,0.14,0.43,0.23,🟢 Safe
4,46,Sri Lanka beat Australia 229 runs clinch seri,England call up uncapped trio for Sri Lanka T20,0.16,0.41,0.23,🟢 Safe
29,37,Gold slips Brexit tensions ease stocks rally,Pakistan shares close lower rupee weaker,0.17,0.36,0.23,🟢 Safe
30,31,Chandimal century Sri Lanka frustrate England,Time to move on and forget about spot fixing saga Salman Bu,0.15,0.41,0.23,🟢 Safe
18,24,WB acknowledges Pakistans growing economy,Economic Survey Pakistan misses GDP targ,0.19,0.34,0.23,🟢 Safe
2,21,oil prices up in asi,Asian shares rise dollar nurses losses after jobs ,0.16,0.42,0.23,🟢 Safe
2,47,oil prices up in asi,Volkswagen says did not breach market disclosure ru,0.14,0.43,0.23,🟢 Safe
3,42,Asian shares edge lower as Fed rate talk reviv,Third of Britons to tighten belts over Brexit ,0.16,0.39,0.23,🟢 Safe
3,12,Asian shares edge lower as Fed rate talk reviv,Cash bet could make break Modi,0.15,0.42,0.23,🟢 Safe
47,49,Volkswagen says did not breach market disclosure ru,Global diesel demand crumbling warns IEA,0.15,0.42,0.23,🟢 Safe
36,48,punjab govt presents rs 1.45tr budg,Trade Policy Framework 2015 18 to be announced ,0.13,0.43,0.22,🟢 Safe
3,13,Asian shares edge lower as Fed rate talk reviv,oil drops after yemen inspired gai,0.13,0.43,0.22,🟢 Safe
44,47,External sharia audits gain traction in Islamic finance study find,Volkswagen says did not breach market disclosure ru,0.14,0.42,0.22,🟢 Safe
28,31,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Time to move on and forget about spot fixing saga Salman Bu,0.13,0.41,0.22,🟢 Safe
2,49,oil prices up in asi,Global diesel demand crumbling warns IEA,0.13,0.43,0.22,🟢 Safe
22,40,In form Ali boosts Paki,New Zealand record dramatic win over Aussi,0.14,0.4,0.22,🟢 Safe
25,47,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Volkswagen says did not breach market disclosure ru,0.13,0.43,0.22,🟢 Safe
25,48,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Trade Policy Framework 2015 18 to be announced ,0.13,0.41,0.22,🟢 Safe
25,43,Nintendos market cap doubles to 42 billion since Pokemon GO lau,British shoppers begin feel post Brexit pi,0.14,0.41,0.22,🟢 Safe
24,32,Economic Survey Pakistan misses GDP targ,Iran says will resist curbs on oil output as part of global ,0.13,0.44,0.22,🟢 Safe
11,41,Salman Butt can make a successful comeback Geoff L,Hartley Wilson in England Womens squad for Pakistan ODI,0.13,0.42,0.22,🟢 Safe
2,34,oil prices up in asi,Pakistan must speed up reform of energy sector World B,0.13,0.42,0.22,🟢 Safe
2,29,oil prices up in asi,Gold slips Brexit tensions ease stocks rally,0.14,0.42,0.22,🟢 Safe
28,38,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Cook ready for Pakistan after Sri Lanka su,0.13,0.41,0.22,🟢 Safe
9,11,Canny Sevilla retain iron grip on Europa League trophy,Salman Butt can make a successful comeback Geoff L,0.15,0.39,0.22,🟢 Safe
43,44,British shoppers begin feel post Brexit pi,External sharia audits gain traction in Islamic finance study find,0.13,0.41,0.22,🟢 Safe
15,45,De Villiers appointed South Africa Test captai,Pakistan win toss opt to field in T20 series decider,0.13,0.41,0.22,🟢 Safe
15,40,De Villiers appointed South Africa Test captai,New Zealand record dramatic win over Aussi,0.13,0.43,0.22,🟢 Safe
18,35,WB acknowledges Pakistans growing economy,Ishaq Dar wants timelines for power projects strictly followed,0.13,0.44,0.22,🟢 Safe
6,27,Serena beats Sharapova to reach semi fi,Brother Brussels suicide bomber Rio Olympi,0.14,0.39,0.22,🟢 Safe
14,22,Narine sinks Proteas in West Indies r,In form Ali boosts Paki,0.16,0.34,0.22,🟢 Safe
32,34,Iran says will resist curbs on oil output as part of global ,Pakistan must speed up reform of energy sector World B,0.14,0.43,0.22,🟢 Safe
13,29,oil drops after yemen inspired gai,Gold slips Brexit tensions ease stocks rally,0.14,0.43,0.22,🟢 Safe
7,45,Rain halts play after Ishant stri,Pakistan win toss opt to field in T20 series decider,0.14,0.4,0.22,🟢 Safe
20,48,Time for vigilance against measures hamper trade WTO,Trade Policy Framework 2015 18 to be announced ,0.15,0.37,0.22,🟢 Safe
29,47,Gold slips Brexit tensions ease stocks rally,Volkswagen says did not breach market disclosure ru,0.13,0.42,0.22,🟢 Safe
17,20,Xi pushes China backed trade deals to fill US void,Time for vigilance against measures hamper trade WTO,0.17,0.32,0.22,🟢 Safe
6,14,Serena beats Sharapova to reach semi fi,Narine sinks Proteas in West Indies r,0.13,0.42,0.22,🟢 Safe
33,43,strike piles up trade cargoes prolonged stand off feared,British shoppers begin feel post Brexit pi,0.12,0.43,0.22,🟢 Safe
7,14,Rain halts play after Ishant stri,Narine sinks Proteas in West Indies r,0.21,0.24,0.22,🟢 Safe
9,43,Canny Sevilla retain iron grip on Europa League trophy,British shoppers begin feel post Brexit pi,0.13,0.42,0.22,🟢 Safe
38,45,Cook ready for Pakistan after Sri Lanka su,Pakistan win toss opt to field in T20 series decider,0.16,0.36,0.22,🟢 Safe
9,40,Canny Sevilla retain iron grip on Europa League trophy,New Zealand record dramatic win over Aussi,0.15,0.4,0.22,🟢 Safe
29,44,Gold slips Brexit tensions ease stocks rally,External sharia audits gain traction in Islamic finance study find,0.12,0.43,0.21,🟢 Safe
17,33,Xi pushes China backed trade deals to fill US void,strike piles up trade cargoes prolonged stand off feared,0.12,0.4,0.21,🟢 Safe
30,40,Chandimal century Sri Lanka frustrate England,New Zealand record dramatic win over Aussi,0.13,0.39,0.21,🟢 Safe
6,15,Serena beats Sharapova to reach semi fi,De Villiers appointed South Africa Test captai,0.12,0.42,0.21,🟢 Safe
6,31,Serena beats Sharapova to reach semi fi,Time to move on and forget about spot fixing saga Salman Bu,0.13,0.41,0.21,🟢 Safe
17,48,Xi pushes China backed trade deals to fill US void,Trade Policy Framework 2015 18 to be announced ,0.12,0.42,0.21,🟢 Safe
13,21,oil drops after yemen inspired gai,Asian shares rise dollar nurses losses after jobs ,0.12,0.43,0.21,🟢 Safe
12,36,Cash bet could make break Modi,punjab govt presents rs 1.45tr budg,0.12,0.42,0.21,🟢 Safe
5,18,Imran asks India to play positive role for bilateral seri,WB acknowledges Pakistans growing economy,0.13,0.4,0.21,🟢 Safe
26,27,Dubai plane crash survivor hits 1m j,Brother Brussels suicide bomber Rio Olympi,0.13,0.42,0.21,🟢 Safe
24,25,Economic Survey Pakistan misses GDP targ,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.11,0.44,0.21,🟢 Safe
24,43,Economic Survey Pakistan misses GDP targ,British shoppers begin feel post Brexit pi,0.12,0.41,0.21,🟢 Safe
4,15,Sri Lanka beat Australia 229 runs clinch seri,De Villiers appointed South Africa Test captai,0.12,0.43,0.21,🟢 Safe
0,27,Dutch climber dies descent Everest summi,Brother Brussels suicide bomber Rio Olympi,0.12,0.43,0.21,🟢 Safe
17,29,Xi pushes China backed trade deals to fill US void,Gold slips Brexit tensions ease stocks rally,0.11,0.43,0.21,🟢 Safe
17,47,Xi pushes China backed trade deals to fill US void,Volkswagen says did not breach market disclosure ru,0.12,0.42,0.21,🟢 Safe
17,49,Xi pushes China backed trade deals to fill US void,Global diesel demand crumbling warns IEA,0.12,0.42,0.21,🟢 Safe
8,9,Hamilton back in the hunt as F1 heads to Baku,Canny Sevilla retain iron grip on Europa League trophy,0.13,0.39,0.21,🟢 Safe
17,34,Xi pushes China backed trade deals to fill US void,Pakistan must speed up reform of energy sector World B,0.11,0.42,0.21,🟢 Safe
14,31,Narine sinks Proteas in West Indies r,Time to move on and forget about spot fixing saga Salman Bu,0.13,0.38,0.21,🟢 Safe
15,28,De Villiers appointed South Africa Test captai,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.12,0.42,0.21,🟢 Safe
33,34,strike piles up trade cargoes prolonged stand off feared,Pakistan must speed up reform of energy sector World B,0.12,0.42,0.21,🟢 Safe
9,41,Canny Sevilla retain iron grip on Europa League trophy,Hartley Wilson in England Womens squad for Pakistan ODI,0.12,0.41,0.21,🟢 Safe
9,38,Canny Sevilla retain iron grip on Europa League trophy,Cook ready for Pakistan after Sri Lanka su,0.12,0.42,0.21,🟢 Safe
11,16,Salman Butt can make a successful comeback Geoff L,Former England captain Carr dead at 89,0.12,0.42,0.21,🟢 Safe
21,34,Asian shares rise dollar nurses losses after jobs ,Pakistan must speed up reform of energy sector World B,0.12,0.43,0.21,🟢 Safe
29,49,Gold slips Brexit tensions ease stocks rally,Global diesel demand crumbling warns IEA,0.12,0.41,0.21,🟢 Safe
29,48,Gold slips Brexit tensions ease stocks rally,Trade Policy Framework 2015 18 to be announced ,0.12,0.42,0.21,🟢 Safe
4,31,Sri Lanka beat Australia 229 runs clinch seri,Time to move on and forget about spot fixing saga Salman Bu,0.11,0.43,0.21,🟢 Safe
12,42,Cash bet could make break Modi,Third of Britons to tighten belts over Brexit ,0.12,0.42,0.21,🟢 Safe
24,49,Economic Survey Pakistan misses GDP targ,Global diesel demand crumbling warns IEA,0.11,0.43,0.21,🟢 Safe
27,29,Brother Brussels suicide bomber Rio Olympi,Gold slips Brexit tensions ease stocks rally,0.13,0.39,0.21,🟢 Safe
4,7,Sri Lanka beat Australia 229 runs clinch seri,Rain halts play after Ishant stri,0.15,0.33,0.21,🟢 Safe
24,29,Economic Survey Pakistan misses GDP targ,Gold slips Brexit tensions ease stocks rally,0.11,0.43,0.21,🟢 Safe
38,40,Cook ready for Pakistan after Sri Lanka su,New Zealand record dramatic win over Aussi,0.13,0.42,0.21,🟢 Safe
34,49,Pakistan must speed up reform of energy sector World B,Global diesel demand crumbling warns IEA,0.13,0.41,0.21,🟢 Safe
34,44,Pakistan must speed up reform of energy sector World B,External sharia audits gain traction in Islamic finance study find,0.11,0.42,0.21,🟢 Safe
44,48,External sharia audits gain traction in Islamic finance study find,Trade Policy Framework 2015 18 to be announced ,0.12,0.42,0.21,🟢 Safe
12,21,Cash bet could make break Modi,Asian shares rise dollar nurses losses after jobs ,0.11,0.43,0.21,🟢 Safe
8,38,Hamilton back in the hunt as F1 heads to Baku,Cook ready for Pakistan after Sri Lanka su,0.13,0.39,0.21,🟢 Safe
21,42,Asian shares rise dollar nurses losses after jobs ,Third of Britons to tighten belts over Brexit ,0.13,0.39,0.21,🟢 Safe
4,11,Sri Lanka beat Australia 229 runs clinch seri,Salman Butt can make a successful comeback Geoff L,0.12,0.42,0.21,🟢 Safe
16,30,Former England captain Carr dead at 89,Chandimal century Sri Lanka frustrate England,0.12,0.4,0.21,🟢 Safe
7,22,Rain halts play after Ishant stri,In form Ali boosts Paki,0.14,0.39,0.21,🟢 Safe
35,39,Ishaq Dar wants timelines for power projects strictly followed,Power tariff increased for Karachi under FCA,0.11,0.43,0.2,🟢 Safe
34,48,Pakistan must speed up reform of energy sector World B,Trade Policy Framework 2015 18 to be announced ,0.11,0.41,0.2,🟢 Safe
2,12,oil prices up in asi,Cash bet could make break Modi,0.1,0.42,0.2,🟢 Safe
2,3,oil prices up in asi,Asian shares edge lower as Fed rate talk reviv,0.12,0.41,0.2,🟢 Safe
2,24,oil prices up in asi,Economic Survey Pakistan misses GDP targ,0.1,0.43,0.2,🟢 Safe
25,34,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Pakistan must speed up reform of energy sector World B,0.1,0.43,0.2,🟢 Safe
9,28,Canny Sevilla retain iron grip on Europa League trophy,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.11,0.4,0.2,🟢 Safe
43,49,British shoppers begin feel post Brexit pi,Global diesel demand crumbling warns IEA,0.13,0.37,0.2,🟢 Safe
25,36,Nintendos market cap doubles to 42 billion since Pokemon GO lau,punjab govt presents rs 1.45tr budg,0.1,0.43,0.2,🟢 Safe
9,31,Canny Sevilla retain iron grip on Europa League trophy,Time to move on and forget about spot fixing saga Salman Bu,0.12,0.38,0.2,🟢 Safe
27,41,Brother Brussels suicide bomber Rio Olympi,Hartley Wilson in England Womens squad for Pakistan ODI,0.12,0.39,0.2,🟢 Safe
3,32,Asian shares edge lower as Fed rate talk reviv,Iran says will resist curbs on oil output as part of global ,0.11,0.43,0.2,🟢 Safe
3,24,Asian shares edge lower as Fed rate talk reviv,Economic Survey Pakistan misses GDP targ,0.11,0.42,0.2,🟢 Safe
40,46,New Zealand record dramatic win over Aussi,England call up uncapped trio for Sri Lanka T20,0.11,0.41,0.2,🟢 Safe
0,26,Dutch climber dies descent Everest summi,Dubai plane crash survivor hits 1m j,0.11,0.42,0.2,🟢 Safe
9,15,Canny Sevilla retain iron grip on Europa League trophy,De Villiers appointed South Africa Test captai,0.11,0.39,0.2,🟢 Safe
11,18,Salman Butt can make a successful comeback Geoff L,WB acknowledges Pakistans growing economy,0.13,0.35,0.2,🟢 Safe
0,6,Dutch climber dies descent Everest summi,Serena beats Sharapova to reach semi fi,0.12,0.39,0.2,🟢 Safe
33,44,strike piles up trade cargoes prolonged stand off feared,External sharia audits gain traction in Islamic finance study find,0.11,0.41,0.2,🟢 Safe
5,48,Imran asks India to play positive role for bilateral seri,Trade Policy Framework 2015 18 to be announced ,0.1,0.43,0.2,🟢 Safe
17,21,Xi pushes China backed trade deals to fill US void,Asian shares rise dollar nurses losses after jobs ,0.1,0.42,0.2,🟢 Safe
33,41,strike piles up trade cargoes prolonged stand off feared,Hartley Wilson in England Womens squad for Pakistan ODI,0.11,0.41,0.2,🟢 Safe
32,48,Iran says will resist curbs on oil output as part of global ,Trade Policy Framework 2015 18 to be announced ,0.1,0.41,0.2,🟢 Safe
34,39,Pakistan must speed up reform of energy sector World B,Power tariff increased for Karachi under FCA,0.14,0.34,0.2,🟢 Safe
34,38,Pakistan must speed up reform of energy sector World B,Cook ready for Pakistan after Sri Lanka su,0.1,0.43,0.2,🟢 Safe
6,22,Serena beats Sharapova to reach semi fi,In form Ali boosts Paki,0.13,0.38,0.2,🟢 Safe
17,25,Xi pushes China backed trade deals to fill US void,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.11,0.42,0.2,🟢 Safe
6,19,Serena beats Sharapova to reach semi fi,Wales overtake England in FIFA world ranking,0.12,0.4,0.2,🟢 Safe
